zpid,streetAddress,zipcode,price,bathrooms,bedrooms,livingArea,homeType,lotAreaValue
47832532,3781 SW Hulska St,34953,357000.0,2.0,3.0,1128.0,SINGLE_FAMILY,10454.0
81391390,4225 SW Elba St,34953,423900.0,2.0,4.0,2141.0,SINGLE_FAMILY,10454.0
81408473,4141 SW Tumble St,34953,475000.0,3.0,4.0,2373.0,SINGLE_FAMILY,0.0
99363870,3512 SW Dellamano St,34953,399000.0,2.0,4.0,1844.0,SINGLE_FAMILY,10000.0
103531702,2782 SW Savona Blvd,34953,535000.0,3.0,4.0,2369.0,SINGLE_FAMILY,10000.0
103555864,1449 SW Medina Ave,34953,410000.0,2.0,4.0,1809.0,SINGLE_FAMILY,10000.0
103571886,1573 SW Birkey Ave,34953,468900.0,3.0,4.0,2265.0,SINGLE_FAMILY,10000.0
103587113,2912 SW Savona Blvd,34953,572500.0,4.0,4.0,2240.0,SINGLE_FAMILY,10000.0
47822163,2209 SW Edison Cir,34953,335000.0,2.0,3.0,1475.0,SINGLE_FAMILY,0.0
47823132,1661 SW Cefalu Cir,34953,437500.0,2.0,3.0,1386.0,SINGLE_FAMILY,0.4820936639118457
47824312,1742 SW Alegre St,34953,285000.0,2.0,2.0,962.0,SINGLE_FAMILY,10000.0
47826718,1065 SW Sultan Dr,34953,337000.0,2.0,3.0,1180.0,SINGLE_FAMILY,10000.0
66205122,621 SW Aster Rd,34953,327500.0,2.0,4.0,1859.0,SINGLE_FAMILY,10000.0
82623885,3466 SW Rosser Blvd,34953,509000.0,3.0,5.0,2440.0,SINGLE_FAMILY,0.0
103536317,1070 SW Del Rio Blvd,34953,80000.0,0.0,,,LOT,10000.0
103538763,3549 SW Vollmer St,34953,376900.0,2.0,3.0,1463.0,SINGLE_FAMILY,10375.0
103608337,4261 SW Daemon St,34953,0.0,,,,LOT,10000.0
2067247722,4044 SW Port Saint Lucie Blvd,34953,383165.0,2.0,4.0,1828.0,SINGLE_FAMILY,9787.0
47826819,1274 SW Parma Ave,34953,325000.0,2.0,2.0,1077.0,SINGLE_FAMILY,10454.0
47832613,3512 SW Vollmer St,34953,340000.0,2.0,3.0,1460.0,SINGLE_FAMILY,10000.0
66205583,844 SW Canary Ter,34953,324000.0,2.0,3.0,1209.0,SINGLE_FAMILY,10000.0
66205981,2249 SW Lawrence St,34953,289150.0,2.0,3.0,1594.0,SINGLE_FAMILY,10375.0
81392889,2551 SW Choctaw St,34953,490000.0,3.0,4.0,2402.0,SINGLE_FAMILY,10000.0
103522670,3121 SW Hickenlooper St,34953,420000.0,2.0,4.0,2020.0,SINGLE_FAMILY,10000.0
103527284,2385 SW Import Dr,34953,580000.0,2.0,4.0,2168.0,SINGLE_FAMILY,10000.0
103529998,1754 SW Congo St,34953,510000.0,4.0,4.0,,SINGLE_FAMILY,10000.0
2056220160,242 SW Quick Ct,34953,450000.0,2.0,4.0,1875.0,SINGLE_FAMILY,10000.0
47830160,1246 SW Albenga Ave,34953,355000.0,2.0,3.0,1478.0,SINGLE_FAMILY,10000.0
47832665,1911 SW Janette Ave,34953,330000.0,2.0,3.0,1643.0,SINGLE_FAMILY,10454.0
47844483,101 SW Covington Rd,34953,370000.0,2.0,3.0,1578.0,SINGLE_FAMILY,0.26000918273645546
103561233,1013 SW Liberty Ave,34953,385000.0,2.0,4.0,1828.0,SINGLE_FAMILY,10000.0
103608396,1214 SW Bellevue Ave,34953,369900.0,2.0,3.0,1463.0,SINGLE_FAMILY,10375.0
66209044,4151 SW Baltic St,34953,380000.0,2.0,4.0,1495.0,SINGLE_FAMILY,0.3
66209237,330 SW Log Dr,34953,385000.0,2.0,3.0,1728.0,SINGLE_FAMILY,0.25
70408277,4109 SW Darien St,34953,418000.0,2.0,4.0,2014.0,SINGLE_FAMILY,10001.376
